dest_airport_seq_ID,dest_city_name,most_common_origin_apt,most_common_origin_city,most_common_origin_state,PC1,PC2,PC3,PC4,PC5
1119302,"Cincinnati, OH",1393007,"Chicago, IL",IL,-3.560708396062698,-0.10742408115687709,-0.37455015873672676,0.6517840471696591,-0.06477869532915961
1334207,"Milwaukee, WI",1039707,"Atlanta, GA",FL,-1.4481858919649333,0.1064099415681656,-0.44612506404268926,0.3740232580046806,-8.451986397725517e-4
1295304,"New York, NY",1393007,"Chicago, IL",FL,-21.171392545781902,-4.654954741325511,-1.781076705341199,2.4925113447034324,0.1199756171001841
1247805,"New York, NY",1289208,"Los Angeles, CA",CA,-15.496262120955524,-0.291551506211162,0.10690932364035353,1.1413420596704433,-0.23846477818478193
1412202,"Pittsburgh, PA",1295304,"New York, NY",FL,-4.002839358289273,0.20521107325277319,-0.2531522912962407,0.1695786984560471,-0.02330355789322806
1449202,"Raleigh/Durham, NC",1039707,"Atlanta, GA",NY,-5.376902204521215,0.03162494979481719,-0.34974991955429113,-0.060596019059322236,0.030257536902422656
1410005,"Philadelphia, PA",1072102,"Boston, MA",FL,-13.079327369606037,1.7628031786586977,1.0283644201278397,0.26836770190483,-0.3857038171501341
1143302,"Detroit, MI",1393007,"Chicago, IL",FL,-18.337766926364637,0.8618280903521034,0.6651525598816886,0.6348965831146209,-0.29962934876541086
1409803,"Newport News/Williamsburg, VA",1039707,"Atlanta, GA",GA,2.7119321045277585,3.9182254895197133,1.1821578208244063,-1.8231665355306592,-0.2971515590114598
1039707,"Atlanta, GA",1320402,"Orlando, FL",FL,-51.50890460216429,0.6315348285698275,1.527303804339194,-1.5022584454541958,-0.16824187402940233
1104205,"Cleveland, OH",1393007,"Chicago, IL",NY,-3.9063831115155083,-0.3541946742248725,-0.5326546008423884,0.46765611200784735,0.04104481397255718
1098002,"Chattanooga, TN",1039707,"Atlanta, GA",GA,1.6141215716650963,0.5588471303286529,-0.3609011276745355,-0.2874128338321254,0.07549449022087402
1079206,"Buffalo, NY",1247805,"New York, NY",NY,-0.42765880875114864,0.1405080485438549,-0.454326517377702,0.06851552565506687,0.0611951274951907
1069302,"Nashville, TN",1039707,"Atlanta, GA",TX,-7.933897025900899,0.4748220093907458,-0.04977157259257436,-0.3752177493255617,-0.012623869415633178
1393102,"Norfolk, VA",1105703,"Charlotte, NC",NY,-0.4136519783131268,-0.6062307391153262,-0.9240750982901804,0.21551562664679216,0.13462923463202886
1245102,"Jacksonville, FL",1039707,"Atlanta, GA",GA,-1.8161609124994142,0.7007095620525426,-0.023014890028162382,0.18989224725590328,-0.08070968189100242
1348702,"Minneapolis, MN",1393007,"Chicago, IL",IL,-18.408540528210274,1.4268677171846993,1.158030987646157,1.0036850611572172,-0.4566117975569268
1473003,"Louisville, KY",1039707,"Atlanta, GA",TX,-0.16992634318726024,-0.6279696620534161,-0.9321297527306709,0.28813484436020026,0.15792604973434482
1072102,"Boston, MA",1295304,"New York, NY",FL,-17.005857535899562,-1.9193092927632802,-0.8797067823030496,1.3063810739612696,0.08072273226567835
1078105,"Baton Rouge, LA",1129806,"Dallas/Fort Worth, TX",TX,1.8915714605025675,0.959753387381388,-0.29564464677069846,-0.7280235363513281,0.014571824105378833
1562404,"Valparaiso, FL",1039707,"Atlanta, GA",TX,2.099974507614478,0.613195160926665,-0.5299650194840969,-0.7387541303542682,0.16382391378282243
1349505,"New Orleans, LA",1039707,"Atlanta, GA",TX,-5.165253519206328,1.1238899332664638,0.2100234256300341,-0.44067713740442493,-0.04633812028758736
1387102,"Omaha, NE",1393007,"Chicago, IL",IL,-0.6477066803120296,0.513708467502086,-0.2311471245872415,-0.005402039398228892,0.039392343963436875
1105703,"Charlotte, NC",1039707,"Atlanta, GA",FL,-30.602530341755475,0.4686401712013495,0.6983832875753181,-1.1089005736319955,0.01720549737282676
1343302,"Minot, ND",1348702,"Minneapolis, MN",MN,2.5816949569959236,1.0538320717270788,0.2980878165496044,3.0471431418682453,-0.40466635218277924
1142307,"Des Moines, IA",1393007,"Chicago, IL",IL,0.5326135328464255,-0.14896401887449678,-0.5784988805458854,0.4787613940045983,0.01992462569215419
1348502,"Madison, WI",1393007,"Chicago, IL",IL,1.1116967469819459,-0.07551292302975746,-0.3892851806799031,0.897656499424502,-0.0503877140581272
1086803,"Columbia, SC",1039707,"Atlanta, GA",GA,1.9006006590035533,0.2859000421482284,-0.7480801145256886,-1.315118414828885,0.3499856391535768
1153705,"Elmira/Corning, NY",1476106,"Sanford, FL",FL,2.9661971536289675,3.1936635873993486,9.967653884607927,-1.0067843153083773,-1.9716678840121387
1541205,"Knoxville, TN",1039707,"Atlanta, GA",GA,0.5792115031259859,-0.041229019800824544,-0.5414381545424185,0.3497416692798601,0.05982782846634787
1082106,"Baltimore, MD",1039707,"Atlanta, GA",FL,-10.70459330674692,1.5452978887382813,0.5186517155466089,-1.0319442232527243,-0.08972192041486812
1294503,"Lexington, KY",1039707,"Atlanta, GA",GA,1.6113447815594115,-1.4004249962188124,-1.3773922949418853,0.2952743570696475,0.3325470249082767
1199502,"Greensboro/High Point, NC",1105703,"Charlotte, NC",NC,0.7994831685732422,-0.11173526050153851,-0.6776944211914966,-0.0997851809457777,0.11456857573275217
1161802,"Newark, NJ",1320402,"Orlando, FL",FL,-15.472824684152126,-4.025126145909162,-1.7839975439879,2.1201808431161657,0.1303337185410577
1078502,"Burlington, VT",1247805,"New York, NY",NY,1.682027810031688,-2.2244377752914333,-1.79628546661963,1.1558325790871382,0.3688975121996527
