seq_ID,city_name,origin_state,DEST_STATE_ABR,n_flights_departed,flights_departed_per_day_reporting,mean_departure_delay_mins,median_departure_delay_mins,sd_departure_delay_mins,prop_dep_del10,prop_dep_del20,prop_dep_del30,prop_dep_early10,prop_dep_early20,prop_dep_early30,n_flights_received,flights_received_per_day_reporting,mean_arrival_delay_mins,median_arrival_delay_mins,sd_arrival_delay_mins,mean_net_delay_as_dest,median_net_delay_as_dest,sd_net_delay_as_dest,prop_dest_del10,prop_dest_del20,prop_dest_del30,prop_dest_early10,prop_dest_early20,prop_dest_early30,busiest_day_of_week_dep,mean_dep_on_busiest_dow,busiest_day_of_week_arr,mean_arr_on_busiest_dow,most_common_dest_apt,most_common_dest_city,most_common_origin_apt,most_common_origin_city,most_common_dest_state,most_common_origin_state
1348702,"Minneapolis, MN",MN,MN,2.6614452299997846,2.6614698351461716,-0.06604649778567152,0.5712581276957922,0.04577168156062418,-0.1946700615267997,-0.22892813991424846,-0.22794937669489243,-1.2750853851519686,-0.37433068090673843,-0.14746625234205302,2.6623791922663775,2.6624050399525747,-0.491933287242997,-1.0005999983857505,0.38393262158948227,-1.1505752739321933,-1.0380008516197587,0.5811704328673725,-0.6005947702431789,-0.4989398454149089,-0.38794960464955625,1.1081838924619845,1.1485837052432473,0.8243164189808998,1,2.7259717415468163,1,2.7290832041680155,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1349505,"New Orleans, LA",LA,LA,0.737942661760957,0.7376961797124327,-0.4005617868872557,0.32992075018328415,-0.6345704584299342,-0.23837595590748223,-0.3837027877178211,-0.47598424516582516,-0.870213006054108,-0.33276809178499445,-0.14746625234205302,0.7374129965266384,0.7371577320109468,-0.5846389316682908,-0.12329217591766133,-0.4628120718467727,-0.45701490277246104,-0.2879522028336053,0.10172670744451501,-0.4413695242035206,-0.5585646083187001,-0.5818259743804697,0.13486063235248494,-0.054711294100583764,-0.06649400601088222,7,0.7187627387228377,7,0.7317915672113363,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1432105,"Portland, ME",ME,ME,-0.24118432141217705,-0.24156879588749228,-0.22788771796908702,-0.15275400484173188,-0.2540624777014312,-0.2128233603977165,-0.13470777897695707,-0.14935658039712366,-0.3206340333236396,-0.3511362369758641,-0.14746625234205302,-0.24219162172963704,-0.24258994268539885,0.503817444676737,0.09603477969936099,1.134597541362307,-0.24504697119453328,-0.2879522028336053,-0.25598709785260065,0.28890151611752274,0.22267920246231412,0.3845236344336834,0.09833471422680927,-0.015869603681735095,-0.16633606014871125,5,-0.24160673833868113,5,-0.23832151359619363,1127805,"Washington, DC",1127805,"Washington, DC",NY,NY
1143302,"Detroit, MI",MI,MI,2.6594159512781825,2.6594402704299025,0.33806717519345647,0.32992075018328415,0.37181758303724477,0.13423327183296943,0.1935858766018721,0.22795873934594235,-1.1902827358402215,-0.3696031633764579,-0.14048513797029255,2.6562915405734335,2.6563164992501633,-0.1308577874073989,-0.7812730427687282,0.7628116413593444,-0.7951037908285423,-0.7879846353577077,0.34023879024432907,-0.44468138102953925,-0.3679203749547159,-0.2574960155048841,0.9162477096149768,0.8125592801577032,0.3034781236792031,1,2.718612588465885,1,2.7217199170271615,1393007,"Chicago, IL",1393007,"Chicago, IL",FL,FL
1410005,"Philadelphia, PA",PA,PA,1.8768753442602761,1.8767893767185635,-0.5256804134052646,0.08858337267077615,-0.5401374306876269,-0.5883117941000201,-0.5898858259811841,-0.6388519925490377,-0.9172220030308926,-0.36083974197369023,-0.14746625234205302,1.8763111674149544,1.8762222217537206,-0.7600349113563143,-0.7812730427687282,-0.12784809508352557,-0.8895501806929135,-0.7879846353577077,0.20392812015669093,-0.6607599386801233,-0.6492412099572372,-0.5787471106336516,1.0596287080187679,0.8686077230031221,0.3517161744475611,5,1.8851885020504293,5,1.8841460047550056,1072102,"Boston, MA",1072102,"Boston, MA",FL,FL
1449202,"Raleigh/Durham, NC",NC,NC,0.7815721542754076,0.7813318211122223,0.06790552849647247,0.32992075018328415,0.056734283455536307,0.037258530404147984,0.10675769768693393,0.11990282932057977,-0.9680380777477547,-0.35376902672245064,-0.12985463524824417,0.780787514838866,0.7805385845156272,-0.1195346759910448,0.09603477969936099,-0.09374237428164973,-0.1968309271650804,-0.2879522028336053,0.2083168223563022,0.04160473885987228,0.004998279881729358,-0.04273084201569607,-0.03707475864342664,-0.17313267226853474,-0.23157540414832017,1,0.7960338460726151,4,0.8054244386198774,1039707,"Atlanta, GA",1039707,"Atlanta, GA",NY,NY
1079206,"Buffalo, NY",NY,NY,0.05661233098296787,0.05626982622502386,0.18890020519926765,0.32992075018328415,0.38629084532340535,0.15321682510641307,0.12073049503703841,0.13313748787264054,-0.4069968262980622,-0.33510462755017145,-0.14746625234205302,0.05686426768624817,0.05650961932055444,-0.0718997170487636,-0.12329217591766133,-0.19437749755282824,-0.29858691125053693,-0.2879522028336053,0.15708149630417834,0.2245117209463961,0.12177678412580312,0.14824937215429632,0.08644431876772729,0.03329133444162271,-0.11807284078151903,1,0.049079808358100406,1,0.058050793823184586,1247805,"New York, NY",1247805,"New York, NY",NY,NY
1538005,"Traverse City, MI",MI,MI,-0.3695362005535257,-0.3699387641915239,0.7701768976483346,0.5712581276957922,0.3454967987843905,0.8379331163952485,0.9597068380036161,0.8036116221509568,-0.5227192438369916,-0.37741361182399186,-0.14746625234205302,-0.3695250029737205,-0.36994191904416773,1.5810147709512787,0.5346886909334057,1.0283658875418078,0.2855285313628895,-0.2879522028336053,1.3602134016107517,1.4436392620043177,1.659532764697527,1.7327974781096451,-0.2742442658940741,-0.0769186418727554,-0.13718490763275706,1,-0.37223170552520957,1,-0.37270150391678125,1143302,"Detroit, MI",1143302,"Detroit, MI",MI,MI
1039707,"Atlanta, GA",GA,GA,7.47464069780036,7.475343646547358,-0.43432339036563145,0.5712581276957922,-0.6694642105790769,-0.3511195336793489,-0.5965652945949218,-0.7159622186004766,-1.3694763066104516,-0.3762175205843494,-0.14746625234205302,7.473399594769427,7.47412801922901,-0.7688077846929697,-0.7812730427687282,-0.14424883227250623,-0.6957717821075857,-0.7879846353577077,0.3417554389105623,-0.9056274979429391,-0.8622108586147286,-0.8414133797042866,0.8380051573227996,0.3684386779342813,0.04192993188773932,1,7.58669235150186,1,7.579648608205666,1320402,"Orlando, FL",1320402,"Orlando, FL",FL,FL
1409803,"Newport News/Williamsburg, VA",VA,VA,-0.3984534223363592,-0.39886006139836105,-1.1632256125972913,-0.3940913823542399,-1.0388602770808888,-1.1440442379958853,-1.5747270118461325,-1.4978214926575457,0.22115269670295482,-0.37741361182399186,-0.14746625234205302,-0.3984413485152056,-0.39886248738062124,-1.3164894504117117,-0.7812730427687282,-1.1803289634181646,-0.7332133649162491,-0.2879522028336053,-1.442917549371147,-1.4200978150287316,-1.4877117940929547,-1.5708813004740634,1.1186515097398735,-0.25469880803341943,-0.6473300766619559,1,-0.40166831784893425,1,-0.4021546524801977,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
