seq_ID,city_name,origin_state,DEST_STATE_ABR,median_departure_delay_mins,sd_departure_delay_mins,prop_dep_early30,sd_arrival_delay_mins,median_net_delay_as_dest,sd_net_delay_as_dest,prop_dest_del30,busiest_day_of_week_dep,mean_dep_on_busiest_dow,busiest_day_of_week_arr,most_common_dest_apt,most_common_dest_city,most_common_origin_apt,most_common_origin_city,most_common_dest_state,most_common_origin_state
1348702,"Minneapolis, MN",MN,MN,0.5712581276957922,0.04577168156062418,-0.14746625234205302,0.38393262158948227,-1.0380008516197587,0.5811704328673725,-0.38794960464955625,1,2.7259717415468163,1,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1349505,"New Orleans, LA",LA,LA,0.32992075018328415,-0.6345704584299342,-0.14746625234205302,-0.4628120718467727,-0.2879522028336053,0.10172670744451501,-0.5818259743804697,7,0.7187627387228377,7,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1432105,"Portland, ME",ME,ME,-0.15275400484173188,-0.2540624777014312,-0.14746625234205302,1.134597541362307,-0.2879522028336053,-0.25598709785260065,0.3845236344336834,5,-0.24160673833868113,5,1127805,"Washington, DC",1127805,"Washington, DC",NY,NY
1143302,"Detroit, MI",MI,MI,0.32992075018328415,0.37181758303724477,-0.14048513797029255,0.7628116413593444,-0.7879846353577077,0.34023879024432907,-0.2574960155048841,1,2.718612588465885,1,1393007,"Chicago, IL",1393007,"Chicago, IL",FL,FL
1410005,"Philadelphia, PA",PA,PA,0.08858337267077615,-0.5401374306876269,-0.14746625234205302,-0.12784809508352557,-0.7879846353577077,0.20392812015669093,-0.5787471106336516,5,1.8851885020504293,5,1072102,"Boston, MA",1072102,"Boston, MA",FL,FL
1449202,"Raleigh/Durham, NC",NC,NC,0.32992075018328415,0.056734283455536307,-0.12985463524824417,-0.09374237428164973,-0.2879522028336053,0.2083168223563022,-0.04273084201569607,1,0.7960338460726151,4,1039707,"Atlanta, GA",1039707,"Atlanta, GA",NY,NY
1079206,"Buffalo, NY",NY,NY,0.32992075018328415,0.38629084532340535,-0.14746625234205302,-0.19437749755282824,-0.2879522028336053,0.15708149630417834,0.14824937215429632,1,0.049079808358100406,1,1247805,"New York, NY",1247805,"New York, NY",NY,NY
1538005,"Traverse City, MI",MI,MI,0.5712581276957922,0.3454967987843905,-0.14746625234205302,1.0283658875418078,-0.2879522028336053,1.3602134016107517,1.7327974781096451,1,-0.37223170552520957,1,1143302,"Detroit, MI",1143302,"Detroit, MI",MI,MI
1039707,"Atlanta, GA",GA,GA,0.5712581276957922,-0.6694642105790769,-0.14746625234205302,-0.14424883227250623,-0.7879846353577077,0.3417554389105623,-0.8414133797042866,1,7.58669235150186,1,1320402,"Orlando, FL",1320402,"Orlando, FL",FL,FL
1409803,"Newport News/Williamsburg, VA",VA,VA,-0.3940913823542399,-1.0388602770808888,-0.14746625234205302,-1.1803289634181646,-0.2879522028336053,-1.442917549371147,-1.5708813004740634,1,-0.40166831784893425,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1098002,"Chattanooga, TN",TN,TN,-0.15275400484173188,0.14723068429764347,-0.14746625234205302,-0.42326707749029285,-0.037935986571554066,-0.05107781712193736,0.0013320007421984508,4,-0.22799230513895843,4,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1295304,"New York, NY",NY,NY,0.5712581276957922,0.03997753372401241,-0.14746625234205302,0.5800550585013339,-0.037935986571554066,2.4152317767015847,2.369824445718245,1,3.3809363657496916,1,1393007,"Chicago, IL",1393007,"Chicago, IL",FL,FL
1069302,"Nashville, TN",TN,TN,0.5712581276957922,-0.30385076225316315,-0.14746625234205302,-0.26924767530973504,-0.5379684190956565,0.040123254972741815,-0.29672010709599517,1,1.1308753112549836,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1247805,"New York, NY",NY,NY,0.32992075018328415,-0.16349412127125018,-0.14746625234205302,0.37618581548466395,-0.5379684190956565,0.9238686179765987,0.29739941942127646,1,2.172195472206745,4,1289208,"Los Angeles, CA",1289208,"Los Angeles, CA",CA,CA
1473003,"Louisville, KY",KY,KY,0.32992075018328415,0.3144254268929343,-0.14746625234205302,0.5142051063301972,-0.037935986571554066,0.15179754583342978,0.17252242866074013,4,0.026634391461260332,4,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1087402,"Akron, OH",OH,OH,0.20925206142703015,0.3218357284431073,-0.14746625234205302,-0.20336811972660182,0.46209644595254834,-0.2572490529845471,0.41482192305561516,4,-0.2898091910187804,4,1105703,"Charlotte, NC",1105703,"Charlotte, NC",NC,NC
1161802,"Newark, NJ",NJ,NJ,0.5712581276957922,0.05286917495735454,-0.14746625234205302,0.901706285016683,-0.037935986571554066,1.4256381310612416,2.0048936158753135,4,2.2005282115683307,4,1320402,"Orlando, FL",1320402,"Orlando, FL",FL,FL
1058102,"Bangor, ME",ME,ME,0.08858337267077615,-0.18689153467470926,0.32094272274953306,-0.11341662386573123,0.08707212155947153,0.9556504882952374,1.3276855291197711,1,-0.37407149379544236,1,1295304,"New York, NY",1295304,"New York, NY",NY,NY
1452401,"Richmond, VA",VA,VA,0.08858337267077615,-0.11841297271051433,-0.14746625234205302,-0.037032222003035596,-0.037935986571554066,0.05061175235909241,0.304582890056803,4,0.06784564871447489,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
